run_id,obs_value,variable,obs_type,units,date,year,doy,dae,sub_plot,valid
MZ0001,0,cob_n,msr,n_m,19/12/2018,2018,353,8,3,1
MZ0001,0,cob_n,msr,n_m,26/12/2018,2018,360,15,3,1
MZ0001,0,cob_n,msr,n_m,2/1/2019,2019,2,22,3,1
MZ0001,0,cob_n,msr,n_m,9/1/2019,2019,9,29,3,1
MZ0001,0,cob_n,msr,n_m,17/01/2019,2019,17,37,3,1
MZ0001,9,cob_n,msr,n_m,23/01/2019,2019,23,43,3,1
MZ0001,13,cob_n,msr,n_m,31/01/2019,2019,31,51,3,1
MZ0001,17,cob_n,msr,n_m,7/2/2019,2019,38,58,3,1
MZ0001,13,cob_n,msr,n_m,14/02/2019,2019,45,65,3,1
MZ0001,12,cob_n,msr,n_m,1/3/2019,2019,60,80,3,1
MZ0001,9,cob_n,msr,n_m,8/3/2019,2019,67,87,3,1
MZ0001,12,cob_n,msr,n_m,14/03/2019,2019,73,93,3,1
MZ0001,9,cob_n,msr,n_m,22/03/2019,2019,81,101,3,1
MZ0001,0,grain_fw,avg,ton/ha,19/12/2018,2018,353,8,3,1
MZ0001,0,grain_fw,avg,ton/ha,26/12/2018,2018,360,15,3,1
MZ0001,0,grain_fw,avg,ton/ha,2/1/2019,2019,2,22,3,1
MZ0001,0,grain_fw,avg,ton/ha,9/1/2019,2019,9,29,3,1
MZ0001,0,grain_fw,avg,ton/ha,17/01/2019,2019,17,37,3,1
MZ0001,0,grain_fw,avg,ton/ha,23/01/2019,2019,23,43,3,1
MZ0001,0,grain_fw,avg,ton/ha,31/01/2019,2019,31,51,3,1
MZ0001,0,grain_fw,avg,ton/ha,7/2/2019,2019,38,58,3,1
MZ0001,7.287666667,grain_fw,avg,ton/ha,14/02/2019,2019,45,65,3,1
MZ0001,14.83333333,grain_fw,avg,ton/ha,1/3/2019,2019,60,80,3,1
MZ0001,16.12688889,grain_fw,avg,ton/ha,8/3/2019,2019,67,87,3,1
MZ0001,12.58155556,grain_fw,avg,ton/ha,14/03/2019,2019,73,93,3,1
MZ0001,14.11111111,grain_fw,avg,ton/ha,22/03/2019,2019,81,101,3,1
MZ0001,0.329444444,leaf_dw,avg,ton/ha,19/12/2018,2018,353,8,3,1
MZ0001,0.983555556,leaf_dw,avg,ton/ha,26/12/2018,2018,360,15,3,1
MZ0001,0.559888889,leaf_dw,avg,ton/ha,2/1/2019,2019,2,22,3,1
MZ0001,7.575888889,leaf_dw,avg,ton/ha,9/1/2019,2019,9,29,3,1
MZ0001,3.562444444,leaf_dw,avg,ton/ha,17/01/2019,2019,17,37,3,1
MZ0001,2.720222222,leaf_dw,avg,ton/ha,23/01/2019,2019,23,43,3,1
MZ0001,3.078111111,leaf_dw,avg,ton/ha,31/01/2019,2019,31,51,3,1
MZ0001,4.704111111,leaf_dw,avg,ton/ha,7/2/2019,2019,38,58,3,1
MZ0001,3.311444444,leaf_dw,avg,ton/ha,14/02/2019,2019,45,65,3,1
MZ0001,3.354,leaf_dw,avg,ton/ha,21/02/2019,2019,52,72,3,1
MZ0001,3.99,leaf_dw,avg,ton/ha,1/3/2019,2019,60,80,3,1
MZ0001,3.916888889,leaf_dw,avg,ton/ha,8/3/2019,2019,67,87,3,1
MZ0001,2.625666667,leaf_dw,avg,ton/ha,14/03/2019,2019,73,93,3,1
MZ0001,2,leaf_dw,avg,ton/ha,22/03/2019,2019,81,101,3,1
MZ0001,0.147222222,stalk_dw,avg,ton/ha,19/12/2018,2018,353,8,3,1
MZ0001,1.443888889,stalk_dw,avg,ton/ha,26/12/2018,2018,360,15,3,1
MZ0001,1.313333333,stalk_dw,avg,ton/ha,2/1/2019,2019,2,22,3,1
MZ0001,7.735111111,stalk_dw,avg,ton/ha,9/1/2019,2019,9,29,3,1
