run_id,obs_value,variable,agg_type,sub_agg_type,units,date,year,doy,dap,valid
SB0003,1057.777767,n_pod,avg,NA,#/m2,13/02/2017,2017,44,105,1
SB0003,1188.888877,n_pod,avg,NA,#/m2,19/02/2017,2017,50,111,1
SB0003,2704.000034,n_grain,avg,NA,#/m2,16/01/2017,2017,16,77,1
SB0003,2465.185244,n_grain,avg,NA,#/m2,30/01/2017,2017,30,91,1
SB0003,2090.666693,n_grain,avg,NA,#/m2,13/02/2017,2017,44,105,1
SB0003,2188.444472,n_grain,avg,NA,#/m2,19/02/2017,2017,50,111,1
SB0003,0.88443,grain_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0003,2.92419,grain_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0003,3.87615,grain_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0003,3.62987,grain_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
SB0004,0.124677333,lai,avg,NA,m2/m2,14/11/2016,2016,318,14,1
SB0004,0.309985778,lai,avg,NA,m2/m2,21/11/2016,2016,325,21,1
SB0004,0.991578667,lai,avg,NA,m2/m2,28/11/2016,2016,332,28,1
SB0004,1.741644444,lai,avg,NA,m2/m2,5/12/2016,2016,339,35,1
SB0004,2.571791582,lai,avg,NA,m2/m2,15/12/2016,2016,349,45,1
SB0004,2.822224,lai,avg,NA,m2/m2,26/12/2016,2016,360,56,1
SB0004,3.489668741,lai,avg,NA,m2/m2,4/1/2017,2017,4,65,1
SB0004,3.385946667,lai,avg,NA,m2/m2,16/01/2017,2017,16,77,1
SB0004,2.513327407,lai,avg,NA,m2/m2,30/01/2017,2017,30,91,1
SB0004,0.498200889,lai,avg,NA,m2/m2,13/02/2017,2017,44,105,1
SB0004,0.133745778,lai,avg,NA,m2/m2,19/02/2017,2017,50,111,1
SB0004,0.051333333,leaf_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0004,0.103777777,leaf_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0004,0.273421795,leaf_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0004,0.498666662,leaf_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0004,0.953333324,leaf_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0004,1.44644443,leaf_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0004,1.567333318,leaf_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0004,1.484222207,leaf_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0004,1.227333321,leaf_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0004,0.283111108,leaf_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0004,0.091555555,leaf_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
SB0004,0.012,stem_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0004,0.056888888,stem_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0004,0.132666665,stem_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0004,0.318577773,stem_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0004,0.903777769,stem_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0004,1.850074097,stem_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0004,2.451753117,stem_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0004,3.11311108,stem_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0004,2.152711138,stem_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0004,2.122311138,stem_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0004,1.978947349,stem_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
SB0004,0.011333333,root_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0004,0.115999999,root_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0004,0.153777776,root_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0004,0.313111108,root_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0004,0.594666661,root_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0004,0.941111102,root_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0004,1.422222208,root_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0004,2.054666646,root_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0004,0.908571419,root_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0004,1.325079352,root_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0004,473.3333286,n_pod,avg,NA,#/m2,26/12/2016,2016,360,56,1
SB0004,1127.485369,n_pod,avg,NA,#/m2,4/1/2017,2017,4,65,1
SB0004,1513.333318,n_pod,avg,NA,#/m2,16/01/2017,2017,16,77,1
SB0004,1231.111099,n_pod,avg,NA,#/m2,30/01/2017,2017,30,91,1
SB0004,1202.339169,n_pod,avg,NA,#/m2,13/02/2017,2017,44,105,1
SB0004,1122.222211,n_pod,avg,NA,#/m2,19/02/2017,2017,50,111,1
SB0004,3102.222191,n_grain,avg,NA,#/m2,16/01/2017,2017,16,77,1
SB0004,2391.578977,n_grain,avg,NA,#/m2,30/01/2017,2017,30,91,1
SB0004,2320.000029,n_grain,avg,NA,#/m2,13/02/2017,2017,44,105,1
SB0004,2042.666692,n_grain,avg,NA,#/m2,19/02/2017,2017,50,111,1
SB0004,0.84398,grain_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0004,2.45636,grain_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0004,3.07912,grain_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0004,2.71702,grain_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
