run_id,dap,obs_value,variable,variety,units,date,year,doy,obs_type,valid
SC0005,333,64.10023447,aerial_dw,SP83-2847,ton/ha,27/09/2005,2005,268,avg,1
SC0002,109,0.73776875,stalk_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0002,129,5.689418682,stalk_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0002,214,24.16714625,stalk_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0002,271,29.28563,stalk_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0002,333,30.50492476,stalk_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0001,109,0,stalk_dw,R570,ton/ha,15/02/2005,2005,44,avg,1
SC0001,129,4.876601137,stalk_dw,R570,ton/ha,7/3/2005,2005,64,avg,1
SC0001,214,23.7602375,stalk_dw,R570,ton/ha,31/05/2005,2005,149,avg,1
SC0001,271,28.45039625,stalk_dw,R570,ton/ha,27/07/2005,2005,206,avg,1
SC0001,333,32.42568966,stalk_dw,R570,ton/ha,27/09/2005,2005,268,avg,1
SC0004,109,8.22925375,stalk_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
SC0004,129,13.73478076,stalk_dw,RB72454,ton/ha,7/3/2005,2005,64,avg,1
SC0004,214,33.00029208,stalk_dw,RB72454,ton/ha,31/05/2005,2005,149,avg,1
SC0004,271,36.33637042,stalk_dw,RB72454,ton/ha,27/07/2005,2005,206,avg,1
SC0004,333,39.60656672,stalk_dw,RB72454,ton/ha,27/09/2005,2005,268,avg,1
SC0003,109,7.00777625,stalk_dw,RB72454,ton/ha,15/02/2005,2005,44,avg,1
SC0003,129,9.661387968,stalk_dw,RB72454,ton/ha,7/3/2005,2005,64,avg,1
SC0003,214,32.03821438,stalk_dw,RB72454,ton/ha,31/05/2005,2005,149,avg,1
SC0003,271,35.97846438,stalk_dw,RB72454,ton/ha,27/07/2005,2005,206,avg,1
SC0003,333,38.11131515,stalk_dw,RB72454,ton/ha,27/09/2005,2005,268,avg,1
SC0008,109,0,stalk_dw,NCo376,ton/ha,15/02/2005,2005,44,avg,1
SC0008,129,7.034527215,stalk_dw,NCo376,ton/ha,7/3/2005,2005,64,avg,1
SC0008,214,29.086625,stalk_dw,NCo376,ton/ha,31/05/2005,2005,149,avg,1
SC0008,271,36.1553975,stalk_dw,NCo376,ton/ha,27/07/2005,2005,206,avg,1
SC0008,333,44.46241519,stalk_dw,NCo376,ton/ha,27/09/2005,2005,268,avg,1
SC0007,109,1.586195,stalk_dw,NCo376,ton/ha,15/02/2005,2005,44,avg,1
SC0007,129,9.689232478,stalk_dw,NCo376,ton/ha,7/3/2005,2005,64,avg,1
SC0007,214,30.119505,stalk_dw,NCo376,ton/ha,31/05/2005,2005,149,avg,1
SC0007,271,35.84876125,stalk_dw,NCo376,ton/ha,27/07/2005,2005,206,avg,1
SC0007,333,36.71,stalk_dw,NCo376,ton/ha,27/09/2005,2005,268,avg,1
SC0006,109,3.82514,stalk_dw,SP83-2847,ton/ha,15/02/2005,2005,44,avg,1
SC0006,129,8.721206002,stalk_dw,SP83-2847,ton/ha,7/3/2005,2005,64,avg,1
SC0006,214,27.3845,stalk_dw,SP83-2847,ton/ha,31/05/2005,2005,149,avg,1
SC0006,271,31.9385,stalk_dw,SP83-2847,ton/ha,27/07/2005,2005,206,avg,1
SC0006,333,36.91168456,stalk_dw,SP83-2847,ton/ha,27/09/2005,2005,268,avg,1
SC0005,109,3.66322,stalk_dw,SP83-2847,ton/ha,15/02/2005,2005,44,avg,1
SC0005,129,8.404524883,stalk_dw,SP83-2847,ton/ha,7/3/2005,2005,64,avg,1
SC0005,214,26.15998,stalk_dw,SP83-2847,ton/ha,31/05/2005,2005,149,avg,1
SC0005,271,31.18962,stalk_dw,SP83-2847,ton/ha,27/07/2005,2005,206,avg,1
SC0005,333,38.55587286,stalk_dw,SP83-2847,ton/ha,27/09/2005,2005,268,avg,1
SC0002,42,2,n_app_leaf_stk,R570,#/stk,10/12/2004,2004,343,avg,1
SC0002,68,6.875,n_app_leaf_stk,R570,#/stk,5/1/2005,2005,3,avg,1
SC0002,87,10.04166667,n_app_leaf_stk,R570,#/stk,24/01/2005,2005,22,avg,1
SC0002,109,12.45833333,n_app_leaf_stk,R570,#/stk,15/02/2005,2005,44,avg,1
SC0002,129,15.5,n_app_leaf_stk,R570,#/stk,7/3/2005,2005,64,avg,1
SC0002,164,20.20833333,n_app_leaf_stk,R570,#/stk,11/4/2005,2005,99,avg,1
SC0002,214,24.33333333,n_app_leaf_stk,R570,#/stk,31/05/2005,2005,149,avg,1
SC0002,271,27.54166667,n_app_leaf_stk,R570,#/stk,27/07/2005,2005,206,avg,1
SC0002,279,28,n_app_leaf_stk,R570,#/stk,4/8/2005,2005,214,avg,1
SC0002,333,32,n_app_leaf_stk,R570,#/stk,27/09/2005,2005,268,avg,1
SC0001,68,7.375,n_app_leaf_stk,R570,#/stk,5/1/2005,2005,3,avg,1
SC0001,87,10.5,n_app_leaf_stk,R570,#/stk,24/01/2005,2005,22,avg,1
