run_id,driv_id,soil_id,crop_id,description,site,country,lat,lon,crop_nm,variety,treatment,irrigaTrueion,plan_year,plan_doy,harv_year,harv_doy,spinup_days,label,source,planting_type,plan_depth,rowspacing,plants_m,plants_ha,area_ha,residue,residue_type,residue_amount_ton_ha,soil,observation,run_jules,sim_base
SC0015,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0016,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0017,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0018,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0019,OL0001,OL0001,CRSC0001,Sugarcane Rainfed,Olimpia,Brazil,-20.43333333,-48.53333333,Sugarcane,NA,Rainfed,FALSE,2007,258,2008,318,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
MZ0003,PI0001,PI0001,CRMZ0001,Maize Irrigated,Piracicaba - Posto Meteorologico (ESALQ),Brazil,-22.704156,-47.623095,Maize,P4285YH,Irrigated,TRUE,2016,187,2016,294,60,Maize Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-17072018-134305/pt-br.php,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data from Tamires Teles's master field experiment near ESALQ's weather station,FALSE,base_setup_01.csv
MZ0004,PI0001,PI0001,CRMZ0001,Maize Rainfed,Piracicaba - Posto Meteorologico (ESALQ),Brazil,-22.704156,-47.623095,Maize,P4285YH,Rainfed,FALSE,2016,162,2016,294,60,Maize Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11152/tde-17072018-134305/pt-br.php,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data from Tamires Teles's master field experiment near ESALQ's weather station,FALSE,base_setup_01.csv
SC0020,NA,NA,CRSC0001,Sugarcane Commercial Area Bare Soil,Igaraçu do Tietê,Brazil,22°13',48°13',Sugarcane,SP80-3280,Rainfed - Bare Soil,FALSE,2014,256,2015,286,60,Sugarcane Rainfed Commercial Area,Gustavo - Ado's DB,NA,NA,NA,NA,NA,NA,F,None,0,NA,Gustavo - Ado's DB,FALSE,base_setup_01.csv
SC0021,NA,NA,CRSC0001,Sugarcane Commercial Area 25% Mulch,Igaraçu do Tietê,Brazil,22°13',48°13',Sugarcane,SP80-3280,Rainfed - 25% Mulch,FALSE,2014,256,2015,286,60,Sugarcane Rainfed Commercial Area,Gustavo - Ado's DB,NA,NA,NA,NA,NA,NA,T,Sugarcane Mulch,2,NA,Gustavo - Ado's DB,FALSE,base_setup_01.csv
SC0022,NA,NA,CRSC0001,Sugarcane Commercial Area 50% Mulch,Igaraçu do Tietê,Brazil,22°13',48°13',Sugarcane,SP80-3280,Rainfed - 50% Mulch,FALSE,2014,256,2015,286,60,Sugarcane Rainfed Commercial Area,Gustavo - Ado's DB,NA,NA,NA,NA,NA,NA,T,Sugarcane Mulch,3.2,NA,Gustavo - Ado's DB,FALSE,base_setup_01.csv
SC0023,NA,NA,CRSC0001,Sugarcane Commercial Area 100%Mulch,Igaraçu do Tietê,Brazil,22°13',48°13',Sugarcane,SP80-3280,Rainfed - 100% Mulch,FALSE,2014,256,2015,286,60,Sugarcane Rainfed Commercial Area,Gustavo - Ado's DB,NA,NA,NA,NA,NA,NA,T,Sugarcane Mulch,7.5,NA,Gustavo - Ado's DB,FALSE,base_setup_01.csv
SC0024,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2013,45,2014,226,60,,,Plant-Cane,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0025,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2013,45,2014,226,60,,,Plant-Cane,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0026,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2013,45,2014,287,60,,,Plant-Cane,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0027,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2013,45,2014,287,60,,,Plant-Cane,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0028,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0029,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0030,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0031,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0032,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0033,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0034,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,Bare Soil,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0035,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,Bare Soil,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,0,,,FALSE,base_setup_01.csv
SC0036,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.25,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,25%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,3.4,,,FALSE,base_setup_01.csv
